D & B Used Cars|111 Old Benbrook Rd|817-555-5555
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
55625|2015|Toyota|Camry|Sedan|White|68756|12800.00
62750|2017|Nissan|Altima|Sedan|Black|143630|8500.00
62850|2016|Nissan|Altima|Sedan|Gray|10230|7240.00
72415|2019|Nissan|Rogue SV|SUV|Black|85707|16000.00
78927|2023|Kia|K5 GT|Sedan|Gray|64897|19800.00
82790|2024|Toyota|Tundra SR5|Pickup|Gray|9650|47610.00
85272|2016|Honda|Accord|Sedan|White|70303|14850.00
101357|2017|Lamborghini|Aventador|Luxury Sports|Orange|3291|500000.00
112425|2018|Acura|LTX|Luxury|Red|48309|20490.00
